time_s,amp_dB
0.286,-4.6616674304
0.750,-4.7081873087
1.219,-4.7189161073
1.688,-4.7091119301
2.156,-4.7273189767
2.625,-4.7271538658
3.094,-4.6688298966
3.562,-4.7319128875
4.036,-4.7323798414
4.503,-4.6822034784
4.969,-4.6813090401
5.453,-4.7376492043
5.926,-4.7389200618
6.390,-4.758308666
6.859,-4.7537965218
7.327,-4.7506077424
7.797,-4.6843439394
8.266,-4.6912182894
8.736,-4.7267939962
9.203,-4.6940345382
9.669,-4.747838807
10.140,-4.7461236006
10.609,-4.7311060095
11.093,-4.72900944
11.568,-4.7363526152
12.031,-4.7291640848
12.499,-4.748896098
12.969,-4.6861623024
13.438,-4.6992422346
13.907,-4.7391028996
14.384,-4.7001662785
14.867,-4.7548582561
15.350,-4.6930295505
15.833,-4.7322609075
16.296,-4.6922319655
16.765,-4.7338897928
17.234,-4.6877767706
17.700,-4.7296653578
18.186,-4.7543227901
18.667,-4.7283403944
19.150,-4.7281382531
19.633,-4.7355784405
