time_s,amp_dB
0.296,-5.0438357847
0.763,-5.0159291939
1.231,-4.9993207883
1.696,-5.0730873155
2.168,-4.9608701468
2.636,-5.0473864451
3.106,-5.0785992677
3.574,-5.0896963804
4.043,-5.0484187817
4.519,-5.0395707345
4.983,-5.0578253704
5.453,-5.0570432283
5.920,-5.0037606878
6.389,-5.026751889
6.857,-5.0894528908
7.325,-5.0403658912
7.797,-5.0504970203
8.270,-5.1037001771
8.730,-5.0028670535
9.202,-5.0202345856
9.668,-5.026244785
10.135,-5.0157289848
10.606,-5.0767716256
11.074,-4.9608970085
11.550,-4.9677273582
12.017,-5.0399775644
12.481,-4.9756763434
12.949,-5.0216907102
13.418,-5.0574825692
13.892,-5.0499703809
14.366,-5.0505912364
14.824,-4.9950283956
15.293,-5.0306125827
15.762,-5.0557627112
16.230,-4.9934755716
16.699,-5.0091535658
17.168,-4.9662321521
17.637,-5.0292582618
18.105,-5.0432642885
18.574,-5.0374122495
19.043,-4.9924507393
19.511,-5.0498811523
19.980,-5.0165342588
