time_s,amp_dB
0.306,-8.362972415
1.378,-8.318746676
2.447,-8.6235635519
3.510,-8.3169375318
4.572,-8.6447193796
5.644,-8.4563491172
6.713,-8.3841591179
7.776,-8.6511895655
8.838,-8.3907311255
9.899,-8.3981437301
10.960,-8.5412160358
12.029,-8.361828199
13.108,-8.4340633495
14.166,-8.595462211
15.228,-8.3787014056
16.290,-8.5708129229
17.353,-8.2783968806
18.414,-8.5296239528
19.478,-8.6000857343
20.540,-8.4466397498
21.610,-8.441142575
22.683,-8.6306444107
23.746,-8.4572218499
24.828,-8.5096559805
25.910,-8.5851711626
26.995,-8.4469793461
28.079,-8.6458042796
29.159,-8.5914128285
