time_s,amp_dB
0.289,-4.7627644767
0.766,-4.7094732763
1.239,-4.9144191573
1.711,-4.844700054
2.180,-4.7784290172
2.649,-4.8481446831
3.119,-4.874597332
3.586,-4.8369812867
4.056,-4.8167106331
4.524,-4.8369550014
4.994,-4.9012660314
5.462,-4.9372841926
5.930,-4.9374486137
6.399,-4.9937733973
6.868,-4.8172000022
7.335,-4.7041688149
7.802,-4.5998429477
8.255,-4.5683719544
8.735,-4.5279118501
9.201,-4.4359280511
9.667,-4.3683199491
10.134,-4.2215017762
10.600,-4.1333107236
11.071,-4.1333218529
11.549,-4.0845089733
12.033,-4.0871389677
12.516,-4.0423152208
13.000,-4.0283276844
13.468,-3.9918650949
13.935,-3.9982391053
14.398,-4.0133198852
14.865,-4.0340763413
15.339,-4.0248061503
15.803,-4.0361232068
16.272,-4.0391576872
16.742,-3.909281872
17.211,-3.8002389108
17.682,-3.8439729079
18.148,-3.7490242759
18.619,-3.7364437947
19.084,-3.6743228233
19.555,-3.636187283
20.024,-3.6277387446
20.493,-3.6418019487
20.961,-3.6189580369
21.435,-3.6257634047
21.901,-3.6165061311
22.367,-3.6124187149
22.843,-3.5866321836
23.315,-3.596389826
23.773,-3.573450759
24.242,-3.566922104
24.712,-3.5363646832
25.180,-3.5311589649
25.648,-3.653399714
26.118,-3.6235014947
26.586,-3.6672913596
27.056,-3.65255218
27.523,-3.6191890983
27.992,-3.6344834773
28.458,-3.6439725677
28.930,-3.6329264529
29.398,-3.6381072984
29.867,-3.613080195
