time_s,amp_dB
0.268,-7.1256725512
1.329,-7.0089155739
2.393,-7.008487385
3.453,-7.0117192948
4.518,-7.0137771773
5.579,-7.0128193252
6.644,-7.0149777666
7.705,-7.0129006225
8.767,-7.0118836311
9.829,-7.012066768
10.893,-7.0257412512
11.953,-7.0303259475
13.023,-7.0251165551
14.101,-7.0238199829
15.160,-7.0233262547
16.220,-7.0226449342
17.297,-7.026665585
18.365,-7.0249247387
19.424,-7.0282347061
20.507,-7.0289879898
21.567,-7.026843988
22.635,-7.0265739818
23.695,-7.0231038337
24.751,-7.0260435453
25.871,-7.0259050205
26.949,-7.0261438658
28.065,-7.027987215
29.125,-7.0245160093
30.188,-7.023825257
31.252,-7.0199714533
32.313,-7.0197907108
33.375,-7.0172821911
34.438,-7.0227117875
35.501,-7.0229416695
36.562,-7.0259917905
37.624,-7.0240999609
38.687,-7.024732217
39.749,-7.0260239005
40.813,-7.0267784906
41.875,-7.0277025963
42.938,-7.026270502
44.000,-7.0278514962
45.062,-7.0269087843
46.125,-7.0275908731
47.188,-7.0291283274
48.249,-7.0282602401
49.313,-7.0258815117
50.374,-7.0270464207
51.438,-7.0269461234
52.501,-7.0268961227
53.561,-7.0276543783
54.624,-7.0246557141
55.686,-7.0269711435
56.749,-7.0278024437
57.815,-7.0274419942
58.877,-7.0274114172
59.938,-7.0327116955
